"Time","%"
2025-07-08 20:45:00,40.5
2025-07-08 20:45:00,40.5
2025-07-08 20:46:03,40.5
2025-07-08 20:46:03,40.5
2025-07-08 20:47:06,40.5
2025-07-08 20:47:06,40.5
2025-07-08 20:48:09,40.5
2025-07-08 20:48:09,40.5
2025-07-08 20:49:13,40.5
2025-07-08 20:49:13,40.5
2025-07-08 20:50:16,40.5
2025-07-08 20:50:16,40.5
2025-07-08 20:51:19,40.5
2025-07-08 20:51:19,40.5
2025-07-08 20:52:22,40.5
2025-07-08 20:53:25,40.5
2025-07-08 20:53:25,40.5
2025-07-08 20:54:28,40.5
2025-07-08 20:54:28,40.5
2025-07-08 20:55:31,40.5
2025-07-08 20:55:31,40.5
2025-07-08 20:56:34,40.5
2025-07-08 20:56:34,40.5
2025-07-08 20:57:37,40.5
2025-07-08 20:57:37,40.5
2025-07-08 20:58:40,40.5
2025-07-08 20:59:43,41
2025-07-08 20:59:43,41
2025-07-08 21:00:46,40.5
2025-07-08 21:00:46,40.5
2025-07-08 21:01:49,41
2025-07-08 21:01:49,41
2025-07-08 21:02:52,41
2025-07-08 21:02:52,41
2025-07-08 21:03:55,41
2025-07-08 21:03:55,41
2025-07-08 21:04:58,41
2025-07-08 21:04:58,41
2025-07-08 21:06:01,41
2025-07-08 21:06:01,41
2025-07-08 21:07:04,41
2025-07-08 21:07:04,41
2025-07-08 21:08:07,41
2025-07-08 21:08:07,41
2025-07-08 21:09:10,41
2025-07-08 21:09:10,41
2025-07-08 21:10:13,41
2025-07-08 21:10:13,41
2025-07-08 21:11:16,41
2025-07-08 21:11:16,41
2025-07-08 21:12:19,41
2025-07-08 21:12:19,41
2025-07-08 21:13:22,41
2025-07-08 21:13:22,41
2025-07-08 21:14:25,41
2025-07-08 21:14:25,41
2025-07-08 21:15:28,41
2025-07-08 21:15:28,41
2025-07-08 21:16:31,41
2025-07-08 21:17:34,41
2025-07-08 21:17:34,41
2025-07-08 21:18:37,41
2025-07-08 21:18:37,41
2025-07-08 21:19:40,41
2025-07-08 21:19:40,41
2025-07-08 21:20:43,41
2025-07-08 21:20:43,41
2025-07-08 21:21:46,41
2025-07-08 21:21:46,41
2025-07-08 21:22:49,41
2025-07-08 21:22:49,41
2025-07-08 21:23:52,41
2025-07-08 21:23:52,41
2025-07-08 21:24:55,41
2025-07-08 21:24:55,41
2025-07-08 21:25:58,41
2025-07-08 21:27:01,41
2025-07-08 21:28:04,41
2025-07-08 21:28:04,41
2025-07-08 21:29:07,41
2025-07-08 21:29:07,41
2025-07-08 21:30:10,41
2025-07-08 21:30:10,41
2025-07-08 21:31:13,41
2025-07-08 21:31:13,41
2025-07-08 21:32:16,41
2025-07-08 21:32:16,41
2025-07-08 21:33:19,41.5
2025-07-08 21:34:22,41.5
2025-07-08 21:34:22,41.5
2025-07-08 21:35:25,41.5
2025-07-08 21:35:25,41.5
2025-07-08 21:36:28,41.5
2025-07-08 21:36:28,41.5
2025-07-08 21:37:31,41.5
2025-07-08 21:37:31,41.5
2025-07-08 21:38:34,41.5
